t,x,y,z,time_from_sync,aligned_time,time_diff_ms
2728.914999961853,0.48193359375,0.794921875,0.6640625,2695.0016667842865,2695.0,1.6667842864990234
2728.919999837876,0.369140625,0.646484375,0.78857421875,2695.0066666603093,2695.005000114441,1.6665458683746692
2728.9249999523163,0.654296875,0.3466796875,0.68359375,2695.0116667747498,2695.0099999904637,1.666784286044276
2728.9299998283386,0.53515625,0.50439453125,0.6025390625,2695.016666650772,2695.015000104904,1.6665458679199219
2728.9349999427795,0.60400390625,0.607421875,0.5419921875,2695.021666765213,2695.0199999809265,1.6667842864990234
2728.939999818802,0.59814453125,0.5439453125,0.51513671875,2695.026666641236,2695.0250000953674,1.6665458683746692
2728.944999933243,0.64501953125,0.5947265625,0.56982421875,2695.0316667556763,2695.0299999713898,1.6667842864990234
2728.949999809265,0.5546875,0.60986328125,0.66259765625,2695.0366666316986,2695.0350000858307,1.6665458679199219
2728.954999923706,0.5576171875,0.44482421875,0.73876953125,2695.0416667461395,2695.039999961853,1.6667842864990234
2728.9599997997284,0.5224609375,0.451171875,0.6474609375,2695.046666622162,2695.0450000762944,1.6665458674651745
2728.9649999141693,0.58203125,0.56396484375,0.548828125,2695.051666736603,2695.0499999523163,1.6667842864990234
2728.969999790192,0.447265625,0.52978515625,0.4609375,2695.0566666126256,2695.055000066757,1.6665458683746692
2728.974999904633,0.54833984375,0.47119140625,0.60693359375,2695.0616667270665,2695.0599999427795,1.6667842869537708
2728.979999780655,0.56640625,0.62255859375,0.68798828125,2695.0666666030884,2695.0650000572205,1.6665458679199219
2728.984999895096,0.48828125,0.53955078125,0.6845703125,2695.0716667175293,2695.0700001716614,1.6665458679199219
2728.989999771118,0.49462890625,0.52685546875,0.609375,2695.076666593552,2695.075000047684,1.6665458679199219
2728.994999885559,0.55615234375,0.5693359375,0.57958984375,2695.081666707993,2695.080000162125,1.6665458679199219
2729.0,0.50244140625,0.40087890625,0.49755859375,2695.086666822433,2695.085000038147,1.666784286044276
2729.0049998760223,0.58740234375,0.37158203125,0.59814453125,2695.091666698456,2695.090000152588,1.6665458679199219
2729.009999990464,0.55078125,0.484375,0.65283203125,2695.096666812897,2695.0950000286102,1.6667842869537708
2729.0149998664856,0.52001953125,0.68994140625,0.63720703125,2695.101666688919,2695.100000143051,1.6665458679199219
2729.0199999809265,0.501953125,0.630859375,0.607421875,2695.10666680336,2695.105000019073,1.6667842869537708
2729.024999856949,0.47705078125,0.4248046875,0.52392578125,2695.1116666793823,2695.1100001335144,1.6665458679199219
2729.0299999713898,0.4990234375,0.41650390625,0.45751953125,2695.1166667938232,2695.115000009537,1.666784286044276
2729.034999847412,0.693359375,0.56494140625,0.603515625,2695.1216666698456,2695.1200001239777,1.6665458679199219
2729.039999961853,0.630859375,0.54541015625,0.70166015625,2695.1266667842865,2695.125,1.6667842864990234
2729.044999837876,0.43115234375,0.49853515625,0.587890625,2695.1316666603093,2695.130000114441,1.6665458683746692
2729.0499999523163,0.55859375,0.498046875,0.54345703125,2695.1366667747498,2695.1349999904637,1.666784286044276
2729.0549998283386,0.59130859375,0.54833984375,0.5986328125,2695.141666650772,2695.140000104904,1.6665458679199219
2729.0599999427795,0.619140625,0.490234375,0.6376953125,2695.146666765213,2695.1449999809265,1.6667842864990234
2729.064999818802,0.48046875,0.53173828125,0.5478515625,2695.151666641236,2695.1500000953674,1.6665458683746692
2729.069999933243,0.5244140625,0.560546875,0.5849609375,2695.1566667556763,2695.1549999713898,1.6667842864990234
2729.074999809265,0.517578125,0.474609375,0.63134765625,2695.1616666316986,2695.1600000858307,1.6665458679199219
2729.079999923706,0.5146484375,0.42041015625,0.60693359375,2695.1666667461395,2695.164999961853,1.6667842864990234
2729.0849997997284,0.58642578125,0.44775390625,0.572265625,2695.171666622162,2695.1700000762944,1.6665458674651745
2729.0899999141693,0.6337890625,0.501953125,0.56884765625,2695.176666736603,2695.1749999523163,1.6667842864990234
2729.094999790192,0.58837890625,0.55224609375,0.55615234375,2695.1816666126256,2695.180000066757,1.6665458683746692
