t,x,y,z,time_from_sync,aligned_time,time_diff_ms
2653.6849999427795,1.0712890625,-0.0419921875,-0.03515625,2604.00166674455,2604.0,1.6667445502207556
2653.689999818802,1.025390625,0.03662109375,-0.05859375,2604.006666620573,2604.005000114441,1.6665061320964014
2653.694999933243,0.958984375,-0.05224609375,-0.0205078125,2604.011666735013,2604.0099999904637,1.666744549311261
2653.699999809265,0.98291015625,-0.00732421875,-0.02783203125,2604.016666611036,2604.0150001049046,1.6665061311869067
2653.704999923706,1.0380859375,-0.02197265625,-0.02783203125,2604.0216667254767,2604.0199999809265,1.6667445502207556
2653.7099997997284,0.978515625,0.021484375,-0.009765625,2604.026666601499,2604.0250000953674,1.666506131641654
2653.7149999141693,0.99169921875,-0.0849609375,0.033203125,2604.03166671594,2604.0299999713898,1.6667445502207556
2653.719999790192,1.0224609375,0.01220703125,0.04248046875,2604.036666591963,2604.0350000858307,1.6665061320964014
2653.724999904633,0.9716796875,-0.0419921875,0.04345703125,2604.041666706404,2604.039999961853,1.6667445511302503
2653.729999780655,1.03173828125,-0.14697265625,0.02490234375,2604.0466665824256,2604.045000076294,1.666506131641654
2653.734999895096,0.9814453125,0.052734375,-0.02001953125,2604.0516666968665,2604.0499999523167,1.6667445497660083
2653.739999771118,0.974609375,-0.08447265625,-0.0048828125,2604.056666572889,2604.055000066757,1.666506131641654
2653.744999885559,0.99365234375,0.00146484375,-0.02001953125,2604.0616666873298,2604.0599999427795,1.6667445502207556
2653.75,0.99365234375,-0.09423828125,-0.0029296875,2604.0666668017707,2604.0650000572205,1.6667445502207556
2653.7549998760223,0.9599609375,0.08544921875,-0.064453125,2604.071666677793,2604.069999933243,1.6667445502207556
2653.759999990464,0.935546875,-0.123046875,-0.0283203125,2604.0766667922344,2604.075000047684,1.6667445502207556
2653.7649998664856,1.056640625,-0.044921875,-0.06689453125,2604.0816666682563,2604.079999923706,1.6667445502207556
2653.7699999809265,1.0263671875,-0.08935546875,-0.01708984375,2604.086666782697,2604.085000038147,1.6667445502207556
2653.774999856949,0.96923828125,-0.048828125,0.0,2604.0916666587195,2604.0899999141693,1.6667445502207556
2653.7799999713898,1.04052734375,-0.0712890625,-0.0107421875,2604.0966667731605,2604.0950000286102,1.6667445502207556
2653.784999847412,1.05078125,-0.046875,-0.01416015625,2604.101666649183,2604.099999904633,1.6667445497660083
2653.789999961853,0.92236328125,-0.01025390625,-0.02880859375,2604.106666763624,2604.105000019074,1.6667445502207556
2653.794999837876,0.99169921875,-0.056640625,-0.0205078125,2604.1116666396465,2604.109999895096,1.666744550675503
2653.7999999523163,1.04638671875,-0.0068359375,-0.02392578125,2604.116666754087,2604.1150000095367,1.6667445502207556
2653.8049998283386,0.89892578125,0.02197265625,-0.0068359375,2604.1216666301093,2604.119999885559,1.6667445502207556
2653.8099999427795,0.96044921875,-0.08935546875,-0.01220703125,2604.12666674455,2604.125,1.6667445502207556
