sensor_name,within_spec,expected_rate_hz,actual_rate_hz,rate_deviation_percent,mean_jitter_ms,max_jitter_ms,jitter_threshold_ms,jitter_violations,num_gaps,num_samples,duration_seconds
gps,True,1,1.0,0.0,0.014,1.0,100,0,0,70,69.0
sensor_3,True,200,200.0,0.0,0.0,0.0,20,0,0,14001,70.0
sensor_4,True,200,200.0,0.0,0.0,0.0,20,0,0,14000,70.0
sensor_5,True,200,200.0,0.0,0.0,0.0,20,0,0,14000,70.0
sensor_wb,True,100,100.33,0.33,0.167,10.0,20,0,0,7023,70.0
sensor_wnb,False,10,7.45,25.53,60.01,100.0,50,260,0,521,69.8
