t,x,y,z,time_from_sync
2653.6849999427795,1.0712890625,-0.0419921875,-0.03515625,2604.00166674455
2653.689999818802,1.025390625,0.03662109375,-0.05859375,2604.0066666205726
2653.694999933243,0.958984375,-0.05224609375,-0.0205078125,2604.0116667350135
2653.699999809265,0.98291015625,-0.00732421875,-0.02783203125,2604.016666611036
2653.704999923706,1.0380859375,-0.02197265625,-0.02783203125,2604.0216667254767
2653.7099997997284,0.978515625,0.021484375,-0.009765625,2604.026666601499
2653.7149999141693,0.99169921875,-0.0849609375,0.033203125,2604.03166671594
2653.719999790192,1.0224609375,0.01220703125,0.04248046875,2604.036666591963
2653.724999904633,0.9716796875,-0.0419921875,0.04345703125,2604.0416667064037
2653.729999780655,1.03173828125,-0.14697265625,0.02490234375,2604.0466665824256
2653.734999895096,0.9814453125,0.052734375,-0.02001953125,2604.0516666968665
2653.739999771118,0.974609375,-0.08447265625,-0.0048828125,2604.056666572889
2653.744999885559,0.99365234375,0.00146484375,-0.02001953125,2604.0616666873298
2653.75,0.99365234375,-0.09423828125,-0.0029296875,2604.0666668017707
2653.7549998760223,0.9599609375,0.08544921875,-0.064453125,2604.071666677793
2653.7599999904637,0.935546875,-0.123046875,-0.0283203125,2604.0766667922344
2653.7649998664856,1.056640625,-0.044921875,-0.06689453125,2604.0816666682563
2653.7699999809265,1.0263671875,-0.08935546875,-0.01708984375,2604.086666782697
2653.774999856949,0.96923828125,-0.048828125,0.0,2604.0916666587195
2653.7799999713898,1.04052734375,-0.0712890625,-0.0107421875,2604.0966667731605
2653.784999847412,1.05078125,-0.046875,-0.01416015625,2604.101666649183
2653.789999961853,0.92236328125,-0.01025390625,-0.02880859375,2604.1066667636237
2653.794999837876,0.99169921875,-0.056640625,-0.0205078125,2604.1116666396465
2653.7999999523163,1.04638671875,-0.0068359375,-0.02392578125,2604.116666754087
2653.8049998283386,0.89892578125,0.02197265625,-0.0068359375,2604.1216666301093
2653.8099999427795,0.96044921875,-0.08935546875,-0.01220703125,2604.12666674455
2653.814999818802,1.09765625,0.0185546875,-0.02294921875,2604.1316666205726
2653.819999933243,1.07177734375,0.03662109375,-0.01123046875,2604.1366667350135
2653.824999809265,0.9150390625,-0.01953125,0.0419921875,2604.141666611036
2653.829999923706,1.001953125,-0.029296875,0.0556640625,2604.1466667254767
2653.8349997997284,1.06298828125,-0.06982421875,0.03857421875,2604.151666601499
2653.8399999141693,1.00927734375,-0.00537109375,-0.0107421875,2604.15666671594
2653.844999790192,0.89306640625,-0.07421875,-0.00048828125,2604.161666591963
2653.849999904633,1.0537109375,-0.0849609375,-0.0126953125,2604.1666667064037
2653.854999780655,0.98681640625,0.06640625,-0.0244140625,2604.1716665824256
2653.859999895096,0.89306640625,-0.0947265625,0.029296875,2604.1766666968665
2653.864999771118,1.05126953125,0.005859375,-0.01611328125,2604.181666572889
2653.869999885559,1.03515625,-0.00830078125,-0.056640625,2604.1866666873298
2653.875,0.953125,-0.10400390625,-0.01416015625,2604.1916668017707
2653.8799998760223,1.01025390625,-0.00927734375,-0.02392578125,2604.196666677793
2653.8849999904637,1.0712890625,-0.0263671875,-0.01513671875,2604.2016667922344
2653.8899998664856,0.98828125,-0.048828125,-0.0341796875,2604.2066666682563
2653.8949999809265,0.95654296875,-0.095703125,-0.01513671875,2604.211666782697
2653.899999856949,1.0029296875,-0.05859375,-0.04052734375,2604.2166666587195
2653.9049999713898,1.02490234375,0.01220703125,-0.048828125,2604.2216667731605
2653.909999847412,0.99658203125,-0.04541015625,-0.03076171875,2604.226666649183
2653.914999961853,0.974609375,-0.06201171875,-0.00244140625,2604.2316667636237
2653.919999837876,0.98681640625,0.04052734375,-0.03125,2604.2366666396465
2653.9249999523163,0.96875,-0.0126953125,-0.0302734375,2604.241666754087
2653.9299998283386,1.0625,-0.0498046875,0.0,2604.2466666301093
2653.9349999427795,1.0068359375,0.048828125,0.0166015625,2604.25166674455
2653.939999818802,0.98193359375,-0.0439453125,0.04541015625,2604.2566666205726
2653.944999933243,0.99609375,-0.09521484375,0.0419921875,2604.2616667350135
2653.949999809265,0.97998046875,-0.05029296875,0.0185546875,2604.266666611036
