t,x,y,z,time_from_sync,aligned_time,time_diff_ms,gyro_x,gyro_y,gyro_z
1156.7699999809265,1.10205078125,-0.3017578125,-0.17041015625,1125.001666824023,1125.0,1.666824023004665,-2.74658203125,-4.0283203125,6.40869140625
1156.7749998569489,1.08935546875,0.048828125,0.00048828125,1125.0066667000451,1125.005000114441,1.6665856041981897,-8.36181640625,-4.5166015625,0.48828125
1156.7799999713898,0.9208984375,0.12744140625,0.0498046875,1125.0116668144865,1125.0099999904637,1.6668240227772912,-6.65283203125,-2.50244140625,-10.19287109375
1156.784999847412,1.0751953125,-0.216796875,0.10107421875,1125.0166666905086,1125.0150001049042,1.6665856044255634,-0.244140625,-2.86865234375,5.859375
1156.789999961853,0.90185546875,0.05322265625,-0.16943359375,1125.0216668049495,1125.0199999809265,1.666824023004665,9.09423828125,-1.46484375,5.859375
1156.7949998378754,0.87158203125,-0.33984375,-0.31494140625,1125.026666680972,1125.0250000953674,1.666585604652937,8.4228515625,-1.3427734375,2.01416015625
1156.7999999523165,0.95654296875,0.19482421875,-0.14111328125,1125.031666795413,1125.0299999713898,1.6668240232320386,0.91552734375,-1.77001953125,-7.50732421875
1156.8049998283386,0.98828125,-0.3212890625,-0.013671875,1125.0366666714351,1125.0350000858307,1.6665856044255634,-13.00048828125,-4.94384765625,0.06103515625
1156.8099999427795,1.078125,0.29541015625,0.0751953125,1125.041666785876,1125.039999961853,1.666824023004665,-6.7138671875,-3.35693359375,-6.77490234375
1156.814999818802,0.8056640625,-0.181640625,0.0673828125,1125.0466666618986,1125.045000076294,1.666585604652937,1.89208984375,-2.0751953125,2.74658203125
1156.8199999332428,1.04541015625,0.11962890625,-0.142578125,1125.0516667763393,1125.0499999523165,1.6668240227772912,11.41357421875,-1.40380859375,4.33349609375
1156.8249998092651,0.91357421875,-0.0693359375,-0.12744140625,1125.0566666523616,1125.0550000667572,1.6665856044255634,-4.08935546875,-2.74658203125,-1.89208984375
1156.829999923706,0.87451171875,-0.0498046875,-0.06787109375,1125.0616667668023,1125.0599999427795,1.6668240227772912,-7.080078125,-2.99072265625,-9.27734375
1156.8349997997284,1.10400390625,-0.02001953125,0.0498046875,1125.0666666428249,1125.0650000572205,1.6665856044255634,-7.568359375,-4.21142578125,0.6103515625
1156.8399999141693,1.048828125,0.02978515625,0.02783203125,1125.0716667572658,1125.0700001716614,1.6665856044255634,-0.06103515625,-1.52587890625,-2.50244140625
1156.8449997901917,0.9296875,-0.19189453125,-0.05078125,1125.076666633288,1125.0750000476835,1.6665856044255634,5.2490234375,-1.52587890625,4.33349609375
1156.8499999046326,0.91455078125,0.16552734375,-0.1552734375,1125.081666747729,1125.0800001621246,1.6665856044255634,5.18798828125,-1.28173828125,-0.732421875
1156.854999780655,1.01708984375,-0.1376953125,-0.1640625,1125.0866666237514,1125.085000038147,1.6665856044255634,-0.30517578125,-1.5869140625,-3.72314453125
1156.8599998950958,0.984375,0.0302734375,-0.07275390625,1125.0916667381923,1125.090000152588,1.6665856044255634,-0.42724609375,-2.44140625,2.62451171875
1156.8649997711182,0.82177734375,-0.04052734375,-0.11767578125,1125.0966666142149,1125.0950000286102,1.666585604652937,0.91552734375,-0.732421875,-7.4462890625
1156.869999885559,1.06884765625,-0.013671875,-0.0947265625,1125.1016667286556,1125.1000001430511,1.6665856044255634,-2.01416015625,-3.11279296875,0.9765625
1156.875,0.82861328125,0.08984375,-0.130859375,1125.1066668430965,1125.1050000190735,1.666824023004665,2.99072265625,-0.3662109375,-5.9814453125
1156.8799998760223,0.9658203125,-0.3369140625,-0.041015625,1125.1116667191188,1125.1100001335144,1.6665856044255634,-3.41796875,-3.11279296875,2.74658203125
1156.8849999904633,0.76123046875,0.15478515625,-0.08935546875,1125.1166668335595,1125.1150000095367,1.6668240227772912,2.197265625,-0.732421875,-3.5400390625
1156.8899998664856,1.00634765625,-0.24169921875,-0.0517578125,1125.121666709582,1125.120000123978,1.6665856041981897,-0.9765625,-2.01416015625,0.54931640625
1156.8949999809265,0.978515625,-0.00390625,-0.12451171875,1125.126666824023,1125.125,1.666824023004665,0.54931640625,-1.40380859375,0.67138671875
1156.8999998569489,0.94677734375,0.07958984375,-0.0673828125,1125.1316667000451,1125.130000114441,1.6665856041981897,0.3662109375,-1.0986328125,-3.47900390625
1156.9049999713898,1.154296875,0.1630859375,-0.04052734375,1125.1366668144865,1125.1349999904637,1.6668240227772912,-0.9765625,-1.3427734375,-3.173828125
1156.909999847412,1.005859375,-0.0205078125,-0.08251953125,1125.1416666905086,1125.1400001049042,1.6665856044255634,0.0,-1.0986328125,-3.90625
1156.914999961853,0.8720703125,-0.04736328125,-0.09619140625,1125.1466668049495,1125.1449999809265,1.666824023004665,1.40380859375,-1.64794921875,3.173828125
1156.9199998378754,0.796875,-0.29345703125,-0.1513671875,1125.151666680972,1125.1500000953674,1.666585604652937,0.42724609375,-1.28173828125,-2.62451171875
1156.9249999523165,1.15771484375,0.033203125,-0.1123046875,1125.156666795413,1125.1549999713898,1.6668240232320386,-0.1220703125,-1.953125,1.03759765625
1156.9299998283386,0.900390625,0.03466796875,-0.1005859375,1125.1616666714351,1125.1600000858307,1.6665856044255634,0.91552734375,-0.8544921875,-5.37109375
1156.9349999427795,0.921875,-0.1591796875,-0.00439453125,1125.166666785876,1125.164999961853,1.666824023004665,-5.9814453125,-2.86865234375,1.40380859375
1156.939999818802,0.9052734375,0.08544921875,-0.02978515625,1125.1716666618986,1125.170000076294,1.666585604652937,0.54931640625,-0.18310546875,-7.9345703125
1156.9449999332428,1.064453125,-0.01904296875,-0.0556640625,1125.1766667763393,1125.1749999523165,1.6668240227772912,-2.44140625,-2.38037109375,3.96728515625
1156.9499998092651,0.9833984375,-0.0693359375,-0.13818359375,1125.1816666523616,1125.1800000667572,1.6665856044255634,1.77001953125,-1.64794921875,4.0283203125
1156.954999923706,0.9423828125,0.03515625,-0.13525390625,1125.1866667668023,1125.1849999427795,1.6668240227772912,0.30517578125,-0.6103515625,-5.67626953125
