t,x,y,z,time_from_sync,aligned_time,time_diff_ms
2878.0899999141693,0.95849609375,-0.00390625,-0.04150390625,2839.023333311081,2839.0199999809265,3.3333301544189453
2878.170000076294,0.96875,-0.08203125,-0.07177734375,2839.1033334732056,2839.099999904633,3.3335685725432995
2878.244999885559,1.04052734375,0.0078125,-0.044921875,2839.1783332824707,2839.180000066757,1.6667842864990234
2878.325000047684,1.05078125,-0.02490234375,-0.08544921875,2839.258333444596,2839.2599999904637,1.6665458679199219
2878.399999856949,0.93798828125,0.0048828125,-0.03271484375,2839.3333332538605,2839.329999923706,3.3333301544189453
2878.480000019073,1.0283203125,-0.02490234375,-0.0830078125,2839.4133334159847,2839.4100000858307,3.333330153964198
2878.555000066757,1.0146484375,0.04052734375,-0.041015625,2839.488333463669,2839.4900000095367,1.6665458679199219
2878.634999990464,0.970703125,-0.04443359375,-0.07373046875,2839.568333387376,2839.569999933243,1.6665458670104272
2878.710000038147,0.95849609375,-0.04931640625,-0.0283203125,2839.6433334350586,2839.6400001049046,3.333330153964198
2878.789999961853,1.0546875,-0.0380859375,-0.0888671875,2839.7233333587646,2839.7200000286102,3.3333301544189453
2878.8650000095367,1.013671875,0.00830078125,-0.0361328125,2839.7983334064484,2839.7999999523167,1.6665458683746692
2878.944999933243,0.96484375,-0.00390625,-0.111328125,2839.8783333301544,2839.880000114441,1.6667842864990234
2879.0199999809265,0.9775390625,-0.015625,-0.0107421875,2839.953333377838,2839.950000047684,3.333330153964198
2879.099999904633,1.072265625,0.01611328125,-0.09912109375,2840.0333333015446,2840.0299999713898,3.3333301548736927
2879.1749999523163,0.99462890625,0.0234375,-0.03125,2840.108333349228,2840.109999895096,1.6665458679199219
2879.2549998760223,0.93212890625,-0.0615234375,-0.078125,2840.188333272934,2840.1900000572205,1.6667842864990234
2879.329999923706,1.03173828125,-0.03466796875,-0.02880859375,2840.2633333206177,2840.2599999904637,3.333330153964198
2879.4100000858307,1.06103515625,-0.00634765625,-0.091796875,2840.3433334827423,2840.3399999141693,3.333568572998047
2879.484999895096,1.0029296875,0.0,-0.0517578125,2840.4183332920074,2840.420000076294,1.6667842864990234
2879.5650000572205,0.9228515625,-0.025390625,-0.0673828125,2840.498333454132,2840.5,1.6665458679199219
2879.6399998664856,1.05126953125,-0.04052734375,-0.03759765625,2840.573333263397,2840.569999933243,3.3333301544189453
2879.7200000286102,1.03369140625,0.0,-0.083984375,2840.653333425522,2840.6500000953674,3.3333301544189453
2879.795000076294,0.99365234375,-0.04638671875,-0.033203125,2840.7283334732056,2840.730000019074,1.6665458683746692
2879.875,0.93994140625,-0.04736328125,-0.05908203125,2840.808333396912,2840.8099999427795,1.6665458674651745
2879.950000047684,1.0673828125,-0.04638671875,-0.068359375,2840.883333444596,2840.880000114441,3.3333301548736927
2880.0299999713898,1.0380859375,0.00634765625,-0.06591796875,2840.9633333683014,2840.960000038147,3.3333301544189453
2880.105000019073,0.98193359375,-0.03857421875,-0.07861328125,2841.0383334159847,2841.039999961853,1.6665458683746692
2880.1849999427795,1.015625,0.015625,-0.06640625,2841.118333339691,2841.119999885559,1.6665458679199219
2880.259999990464,1.03466796875,-0.0498046875,-0.0810546875,2841.193333387376,2841.1900000572205,3.33333015532844
2880.3399999141693,0.97021484375,0.02001953125,-0.060546875,2841.273333311081,2841.2699999809265,3.3333301544189453
2880.414999961853,0.9580078125,-0.072265625,-0.05517578125,2841.3483333587646,2841.349999904633,1.6665458683746692
2880.494999885559,1.009765625,-0.037109375,-0.03271484375,2841.4283332824707,2841.430000066757,1.6667842864990234
2880.569999933243,1.03515625,-0.033203125,-0.09423828125,2841.5033333301544,2841.5,3.3333301544189453
2880.649999856949,0.96337890625,0.0244140625,-0.03173828125,2841.5833332538605,2841.579999923706,3.3333301544189453
2880.724999904633,0.98779296875,-0.02197265625,-0.09814453125,2841.6583333015446,2841.6600000858307,1.666784286044276
2880.805000066757,1.01904296875,0.048828125,-0.04443359375,2841.738333463669,2841.7400000095367,1.6665458679199219
2880.8799998760223,0.99072265625,-0.01171875,-0.11767578125,2841.813333272934,2841.8099999427795,3.3333301544189453
2880.960000038147,0.9111328125,-0.03369140625,-0.0361328125,2841.8933334350586,2841.8900001049046,3.333330153964198
2881.0350000858307,1.05029296875,-0.04833984375,-0.0830078125,2841.9683334827423,2841.9700000286102,1.6665458679199219
2881.1150000095367,1.0341796875,-0.0078125,-0.02685546875,2842.0483334064484,2842.0499999523167,1.6665458683746692
2881.1900000572205,0.994140625,-0.0234375,-0.0810546875,2842.123333454132,2842.119999885559,3.333568572998047
2881.2699999809265,0.9375,-0.0126953125,-0.0205078125,2842.203333377838,2842.200000047684,3.333330153964198
2881.3450000286102,1.03271484375,-0.001953125,-0.09375,2842.278333425522,2842.2799999713898,1.6665458679199219
2881.4249999523163,1.01025390625,0.01611328125,-0.02490234375,2842.358333349228,2842.359999895096,1.6665458679199219
2881.5,0.93017578125,-0.021484375,-0.068359375,2842.433333396912,2842.430000066757,3.3333301548736927
2881.579999923706,1.001953125,-0.0380859375,-0.0439453125,2842.5133333206177,2842.5099999904637,3.333330153964198
