sensor_name,within_spec,expected_rate_hz,actual_rate_hz,rate_deviation_percent,mean_jitter_ms,max_jitter_ms,jitter_threshold_ms,jitter_violations,num_gaps,num_samples,duration_seconds
gps,True,1,1.0,0.0,0.0,0.0,100,0,0,68,67.0
sensor_3,True,200,200.0,0.0,0.0,0.0,20,0,0,13601,68.0
sensor_4,True,200,200.0,0.0,0.0,0.0,20,0,0,13600,68.0
sensor_5,True,200,200.0,0.0,0.0,0.0,20,0,0,13600,68.0
sensor_wb,True,100,100.33,0.33,0.166,10.0,20,0,0,6822,68.0
sensor_wnb,False,10,7.37,26.28,61.463,100.0,50,249,0,500,67.7
