t,x,y,z,time_from_sync,aligned_time,time_diff_ms,gyro_x,gyro_y,gyro_z
821.7699999809265,0.81787109375,-0.3056640625,0.0849609375,790.0016668240229,790.0,1.666824022890978,-1.77001953125,0.67138671875,0.54931640625
821.7749998569489,1.162109375,-0.24658203125,-0.0517578125,790.0066667000452,790.0050001144409,1.6665856043118765,1.220703125,0.3662109375,6.04248046875
821.7799999713898,0.72314453125,0.02734375,-0.11572265625,790.0116668144861,790.0099999904633,1.666824022890978,1.40380859375,1.46484375,-4.69970703125
821.7849998474121,0.9951171875,-0.2666015625,-0.095703125,790.0166666905085,790.0150001049042,1.6665856043118765,-2.01416015625,0.0,3.90625
821.789999961853,0.7578125,0.19921875,-0.05029296875,790.0216668049494,790.0199999809265,1.666824022890978,-2.25830078125,0.91552734375,-5.0048828125
821.7949998378754,1.02099609375,-0.19775390625,0.03466796875,790.0266666809717,790.0250000953674,1.6665856043118765,-2.25830078125,0.48828125,-1.3427734375
821.7999999523163,1.029296875,-0.21875,-0.0791015625,790.0316667954127,790.0299999713898,1.666824022890978,-0.3662109375,-0.6103515625,4.39453125
821.8049998283386,0.9228515625,0.07275390625,-0.05859375,790.036666671435,790.0350000858307,1.6665856043118765,-4.39453125,0.42724609375,-4.8828125
821.8099999427795,1.22216796875,-0.27197265625,0.01806640625,790.0416667858759,790.039999961853,1.666824022890978,-0.67138671875,-0.244140625,2.0751953125
821.8149998188019,0.91357421875,0.21923828125,-0.05712890625,790.0466666618983,790.045000076294,1.6665856043118765,-0.8544921875,0.79345703125,-1.15966796875
821.8199999332428,1.1162109375,-0.34130859375,0.025390625,790.0516667763392,790.0499999523163,1.666824022890978,-2.38037109375,0.1220703125,-0.18310546875
821.8249998092651,0.94287109375,0.20458984375,-0.083984375,790.0566666523615,790.0550000667572,1.6665856043118765,1.28173828125,0.732421875,-1.15966796875
821.829999923706,1.056640625,-0.37841796875,0.05517578125,790.0616667668024,790.0599999427795,1.666824022890978,-1.8310546875,0.3662109375,-0.9765625
821.8349997997284,0.9873046875,0.0888671875,0.01171875,790.0666666428248,790.0650000572205,1.6665856043118765,-3.2958984375,-0.3662109375,0.79345703125
821.8399999141693,0.9501953125,-0.1240234375,0.00537109375,790.0716667572657,790.0700001716614,1.6665856043118765,-4.57763671875,0.18310546875,-8.544921875
821.8449997901917,1.1416015625,0.15673828125,0.0400390625,790.076666633288,790.0750000476837,1.6665856043118765,-4.39453125,-1.0986328125,-2.74658203125
821.8499999046326,0.9697265625,0.01171875,-0.0947265625,790.081666747729,790.0800001621246,1.6665856043118765,-0.67138671875,0.0,-1.64794921875
821.8549997806549,1.08837890625,-0.16650390625,-0.1123046875,790.0866666237513,790.085000038147,1.6665856043118765,-0.1220703125,-0.30517578125,1.64794921875
821.8599998950958,1.0048828125,0.19287109375,-0.0615234375,790.0916667381922,790.0900001525879,1.6665856043118765,-2.13623046875,-0.244140625,-4.82177734375
821.8649997711182,1.26416015625,-0.3203125,0.11572265625,790.0966666142145,790.0950000286102,1.6665856043118765,-2.25830078125,-0.6103515625,0.06103515625
821.8699998855591,1.17333984375,0.2685546875,0.01953125,790.1016667286555,790.1000001430511,1.6665856043118765,-4.69970703125,-0.18310546875,-3.90625
821.875,1.06103515625,-0.40380859375,0.1220703125,790.1066668430964,790.1050000190735,1.666824022890978,-4.08935546875,-0.42724609375,-2.01416015625
821.8799998760223,1.0400390625,0.2373046875,-0.0556640625,790.1116667191187,790.1100001335144,1.6665856043118765,-1.15966796875,-0.1220703125,-3.41796875
821.8849999904633,1.189453125,-0.4189453125,-0.068359375,790.1166668335596,790.1150000095367,1.666824022890978,1.3427734375,0.18310546875,-0.18310546875
